,Indicator,year,Indicator_no,Total_pregnant_women_registered_ANC,Total_registered_within_first_trimester,Total_registered_under_JSY,Perc_1st_Trimester_regis_to_Total_ANC_regis,Perc_JSY_regis_total_ANC_regis,Total_received_3_ANC_check_ups,Booster_given_numbers,Perc_received_3_ANC_check_ups_to_Total_ANC_regis,Perc_received_Booster_to_Total_ANC_regis,Total_given_100_IFA_tablets,Perc_given_100_IFA_to_Total_ANC_regis,Number_having_Hb_level_11_tested_cases,Number_having_severe_anaemia_Hb_7_treated_at_institutin,Perc_having_severe_anaemia_Hb7_treated_at_institution_to_women_having_hb_level_11,Perc_New_cases_detected_at_institution_for_hypertension_to_Total_ANC_regis,Total_home_deliveries,home_deliveries_attended_by_SBA_trained_Doctor_Nurse,home_deliveries_attended_by_Non_SBA_trained,Perc_SBA_attended_home_deliveries_to_Total_Reported_Home_Deliveries,Mothers_paid_JSY_incentive_for_home_deliveries,Perc_Mothers_paid_JSY_incentive_for_home_deliveries_to_Total_Reported_Home_Deliveries,Deliveries_Conducted_at_Public_Institutions,Institutional_deliveries_Public_Insts_Pvt_Insts,Perc_Institutional_Deliveries_to_total_ANC_registration,Total_reported_deliveries,Perc_Institutional_deliveries_to_Total_Reported_Deliveries,Perc_Safe_deliveries_to_Total_Reported_Deliveries,Perc_Home_deliveries_to_Total_Reported_Deliveries,Number_of_C_section_deliveries_conducted_at_public_facilities,Number_of_C_section_deliveries_conducted_at_private_facilities,Perc_C_section_deliveries_institutional_to_reported_institutional_deliveries,Perc_C_sections_conducted_at_public_facilities_to_Deliveries_conducted_at_public_facilities,Perc_C_sections_conducted_at_Private_facilities_to_Deliveries_conducted_at_private_facilities,Perc_Deliveries_conducted_at_Public_Institutions_to_Total_Institutional_Deliveries,Perc_Deliveries_conducted_at_Private_Institutions_to_Total_Institutional_Deliveries,Total_reported_live_births,Perc_Total_Live_Births_to_Total_Deliveries,Total_Number_of_reported_Still_Births,Perc_Live_birth_to_Reported.Birth,Number_of_Newborns_weighed_at_birth,Perc_Newborns_weighed_at_birth_to_live_birth,Number_of_Newborns_having_weight_less_than_2.5.kg,Perc_Newborns_having_weight_less_than_2.5.kg_to_Newborns_weighed_at_birth
711,GH Thalassery,2015-16,4,67,36,9,53.7,13.4,25,4037,37.3,6025.4,51,76.1,615,36,5.9,117.9,NA,NA,NA,NA,NA,NA,4470,12293,8347.8,12293,100,100,0,2043,4033,49.4,45.7,51.6,36.4,63.6,12318,100.2,36,99.7,11545,93.7,1263,10.9
721,Iritty CHCArea,2015-16,4,4756,3992,2402,83.9,50.5,4322,3233,90.9,68,3423,72,33,0,0,0.1,1,0,1,0,0,0,2,2221,46.7,2222,100,100,0,0,754,33.9,0,34,0.1,99.9,2222,100,6,99.7,2221,100,91,4.1
731,Iriveri CHCArea,2015-16,4,4238,3323,991,78.4,23.4,3924,2075,92.6,49,3482,82.2,22,0,0,0.1,2,0,2,0,0,0,0,187,4.4,189,98.9,98.9,1.1,0,94,50.3,NA,50.3,0,100,193,102.1,0,100,180,93.3,28,15.6
741,Keezhpally PHCArea,2015-16,4,1639,1362,1282,83.1,78.2,1552,639,94.7,39,1433,87.4,32,NA,0,1.1,2,0,2,0,0,0,0,1,0.1,3,33.3,33.3,66.7,0,NA,0,NA,0,0,100,2,66.7,1,66.7,2,100,0,0
751,Mayyil CHCArea,2015-16,4,3187,2689,1377,84.4,43.2,2982,2260,93.6,70.9,2652,83.2,104,0,0,0.3,0,0,0,NA,0,NA,0,711,22.3,711,100,100,0,0,279,39.2,NA,39.2,0,100,716,100.7,0,100,713,99.6,32,4.5
761,Oduvallithattu CHCArea,2015-16,4,2075,1828,979,88.1,47.2,2031,986,97.9,47.5,1910,92,27,0,0,0.3,3,0,3,0,0,0,0,3,0.1,6,50,50,50,0,1,33.3,NA,33.3,0,100,6,100,0,100,6,100,0,0
771,Panoor CHCArea,2015-16,4,2361,1964,1299,83.2,55,2138,829,90.6,35.1,1510,64,37,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,100,0,NA,NA,NA,NA,NA,NA,1,100,0,100,1,100,0,0
781,Pappinissery CHCArea,2015-16,4,2930,2384,968,81.4,33,2831,946,96.6,32.3,2178,74.3,12,0,0,0.4,0,0,0,NA,0,NA,0,841,28.7,841,100,100,0,0,457,54.3,NA,54.3,0,100,924,109.9,0,100,921,99.7,120,13
791,Payyangadi CHCArea,2015-16,4,3367,2665,788,79.2,23.4,3168,3348,94.1,99.4,3446,102.3,21,0,0,0.7,0,0,0,NA,0,NA,0,4667,138.6,4667,100,100,0,0,1630,34.9,NA,34.9,0,100,4692,100.5,9,99.8,4692,100,296,6.3
801,Peringome CHCArea,2015-16,4,1834,1536,1602,83.8,87.4,1737,878,94.7,47.9,1501,81.8,50,0,0,0.8,1,0,1,0,0,0,0,2109,115,2110,100,100,0,0,958,45.4,NA,45.4,0,100,2101,99.6,83,96.2,2101,100,724,34.5
811,Pinarayi CHCArea,2015-16,4,5470,4504,1371,82.3,25.1,4886,2123,89.3,38.8,4318,78.9,60,0,0,1,1,0,1,0,0,0,0,150,2.7,151,99.3,99.3,0.7,0,78,52,NA,52,0,100,151,100,0,100,151,100,17,11.3
821,THQH Kuthuparamba,2015-16,4,76,66,2,86.8,2.6,79,447,103.9,588.2,100,131.6,56,0,0,0,NA,NA,NA,NA,NA,NA,10,107,140.8,107,100,100,0,0,57,53.3,0,58.8,9.3,90.7,108,100.9,0,100,108,100,7,6.5
831,THQH Payyannur,2015-16,4,70,60,20,85.7,28.6,77,716,110,1022.9,77,110,59,1,1.7,48.6,NA,NA,NA,NA,NA,NA,312,415,592.9,415,100,100,0,127,57,44.3,40.7,55.3,75.2,24.8,416,100.2,3,99.3,416,100,38,9.1
841,THQH Peravoor,2015-16,4,0,0,0,NA,NA,0,201,NA,NA,0,NA,26,7,26.9,NA,NA,NA,NA,NA,NA,NA,36,36,NA,36,100,100,0,0,NA,0,0,NA,100,0,35,97.2,1,97.2,35,100,8,22.9
851,THQH Taliparamba,2015-16,4,406,232,18,57.1,4.4,186,445,45.8,109.6,156,38.4,173,0,0,5.7,NA,NA,NA,NA,NA,NA,2039,4252,1047.3,4252,100,100,0,798,642,33.9,39.1,29,48,52,4262,100.2,25,99.4,4262,100,368,8.6
861,Wand C hospital mangattuparamba,2015-16,4,51,39,24,76.5,47.1,43,502,84.3,984.3,86,168.6,1520,55,3.6,100,0,0,0,NA,0,NA,1120,1120,2196.1,1120,100,100,0,541,NA,48.3,48.3,NA,100,0,1122,100.2,1,99.9,1122,100,96,8.6
881,Bedaduka CHCArea,2015-16,5,2899,2499,842,86.2,29,3004,2762,103.6,95.3,2921,100.8,627,1,0.2,0.9,2,0,2,0,1,50,0,404,13.9,406,99.5,99.5,0.5,0,77,19.1,NA,19.1,0,100,409,100.7,0,100,409,100,55,13.4
891,DH Kanhangad,2015-16,5,231,200,43,86.6,18.6,238,1030,103,445.9,226,97.8,38,0,0,29.4,0,0,0,NA,0,NA,1509,2588,1120.3,2588,100,100,0,388,259,25,25.7,24,58.3,41.7,2598,100.4,6,99.8,2598,100,286,11
901,GH Kasaragod,2015-16,5,785,425,150,54.1,19.1,587,3808,74.8,485.1,967,123.2,1593,8,0.5,5.6,0,0,0,NA,0,NA,2329,10220,1301.9,10220,100,100,0,600,2007,25.5,25.8,25.4,22.8,77.2,10245,100.2,34,99.7,10245,100,368,3.6
911,Kumbla CHCArea,2015-16,5,3429,2827,967,82.4,28.2,3172,2288,92.5,66.7,1675,48.8,641,0,0,2.2,7,1,6,14.3,0,0,0,1525,44.5,1532,99.5,99.6,0.5,0,406,26.6,NA,26.6,0,100,1542,100.7,7,99.5,1542,100,151,9.8
921,Mangalapady CHCArea,2015-16,5,3644,2977,819,81.7,22.5,3517,940,96.5,25.8,3522,96.7,309,0,0,0.2,8,2,6,25,0,0,0,228,6.3,236,96.6,97.5,3.4,0,4,1.8,NA,1.8,0,100,236,100,0,100,236,100,10,4.2
931,Muliyar CHCArea,2015-16,5,3861,2986,827,77.3,21.4,3447,1573,89.3,40.7,3668,95,491,0,0,0.8,7,2,5,28.6,1,14.3,0,99,2.6,106,93.4,95.3,6.6,0,25,25.3,NA,25.3,0,100,105,99.1,1,99.1,104,99,6,5.8
941,Nileshwar CHCArea,2015-16,5,4712,4157,1613,88.2,34.2,4488,2356,95.2,50,3900,82.8,770,1,0.1,1.3,3,1,2,33.3,0,0,0,359,7.6,362,99.2,99.4,0.8,0,72,20.1,NA,20.1,0,100,364,100.6,0,100,364,100,36,9.9
951,Panathady CHCArea,2015-16,5,1715,1546,731,90.1,42.6,1668,1462,97.3,85.2,1174,68.5,297,0,0,1.5,2,1,1,50,0,0,0,0,0,2,0,50,100,0,0,NA,NA,NA,NA,NA,2,100,0,100,2,100,1,50
961,Periye CHCArea,2015-16,5,3161,2703,903,85.5,28.6,2754,3504,87.1,110.9,2686,85,413,0,0,2.3,0,0,0,NA,0,NA,0,5000,158.2,5000,100,100,0,0,1143,22.9,NA,22.9,0,100,5060,101.2,7,99.9,5060,100,215,4.2
981,Anchal CHCArea,2015-16,6,1851,1571,798,84.9,43.1,1813,1163,97.9,62.8,1680,90.8,78,0,0,6.8,2,1,1,50,0,0,0,714,38.6,716,99.7,99.9,0.3,0,447,62.6,NA,62.6,0,100,720,100.6,0,100,720,100,57,7.9
991,Chavara CHCArea,2015-16,6,1421,1228,739,86.4,52,1376,512,96.8,36,1373,96.6,9,0,0,0.8,0,0,0,NA,0,NA,0,12,0.8,12,100,100,0,0,7,58.3,NA,58.3,0,100,12,100,0,100,12,100,1,8.3
1001,District Hospital Kollam,2015-16,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1011,Kalakode CHCArea,2015-16,6,3184,2827,1805,88.8,56.7,2879,1433,90.4,45,1236,38.8,35,0,0,1.5,2,0,2,0,0,0,0,1302,40.9,1304,99.8,99.8,0.2,0,702,53.9,NA,53.9,0,100,1307,100.2,0,100,1307,100,43,3.3
1021,Kulakkada CHCArea,2015-16,6,2087,1791,981,85.8,47,2135,1025,102.3,49.1,2432,116.5,23,0,0,2,1,0,1,0,0,0,0,302,14.5,303,99.7,99.7,0.3,0,199,65.9,NA,65.9,0,100,304,100.3,0,100,304,100,4,1.3
1031,Kulathupuzha CHCArea,2015-16,6,805,710,508,88.2,63.1,867,638,107.7,79.3,886,110.1,46,0,0,3.5,3,0,3,0,0,0,0,191,23.7,194,98.5,98.5,1.5,0,98,51.3,NA,51.3,0,100,190,97.9,5,97.4,190,100,22,11.6
1041,Kundara CHCArea,2015-16,6,1679,1464,936,87.2,55.7,1593,876,94.9,52.2,1425,84.9,39,0,0,0.8,1,0,1,0,0,0,0,0,0,1,0,0,100,0,NA,NA,NA,NA,NA,NA,1,100,0,100,1,100,0,0
1051,Mynagappally CHCArea,2015-16,6,2430,2192,1437,90.2,59.1,2360,2333,97.1,96,2431,100,32,0,0,0.1,0,0,0,NA,0,NA,0,1217,50.1,1217,100,100,0,0,683,56.1,NA,56.1,0,100,1220,100.2,0,100,1116,91.5,74,6.6
1061,Nedumoncavu CHCArea,2015-16,6,1995,1693,967,84.9,48.5,1901,1214,95.3,60.9,1648,82.6,71,0,0,1.8,2,1,1,50,0,0,0,1074,53.8,1076,99.8,99.9,0.2,0,593,55.2,NA,55.2,0,100,1090,101.3,0,100,1090,100,100,9.2
1071,Neendakara CHCArea,2015-16,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1081,Nilamel CHCArea,2015-16,6,1275,1089,901,85.4,70.7,1268,557,99.5,43.7,1320,103.5,16,0,0,1.3,2,0,2,0,0,0,0,0,0,2,0,0,100,0,NA,NA,NA,NA,NA,NA,2,100,0,100,2,100,0,0
1091,Oachira CHCArea,2015-16,6,1339,1171,738,87.5,55.1,1198,2173,89.5,162.3,577,43.1,34,0,0,1.2,0,0,0,NA,0,NA,0,3077,229.8,3077,100,100,0,0,1246,40.5,NA,40.5,0,100,3102,100.8,2,99.9,3102,100,82,2.6
1101,Palathara CHCArea,2015-16,6,4163,3374,2173,81,52.2,3774,2018,90.7,48.5,3113,74.8,86,0,0,1,2,2,0,100,0,0,0,3008,72.3,3010,99.9,100,0.1,0,1940,64.5,NA,64.5,0,100,3020,100.3,1,100,3020,100,100,3.3
1111,Pathanapuram CHCArea,2015-16,6,2040,1761,948,86.3,46.5,2120,1936,103.9,94.9,1984,97.3,14,0,0,1.6,7,0,7,0,0,0,0,576,28.2,583,98.8,98.8,1.2,0,310,53.8,NA,53.8,0,100,588,100.9,0,100,588,100,9,1.5
1121,Sooranadu CHCArea,2015-16,6,2012,1752,1426,87.1,70.9,1893,1008,94.1,50.1,1947,96.8,247,42,17,1.6,1,1,0,100,0,0,327,675,33.5,676,99.9,100,0.1,165,133,44.1,50.5,38.2,48.4,51.6,677,100.1,0,100,677,100,56,8.3
1131,THQH Kadakkal,2015-16,6,115,100,98,87,85.2,116,476,100.9,413.9,112,97.4,248,14,5.6,3.5,NA,NA,NA,NA,NA,NA,375,375,326.1,375,100,100,0,157,NA,41.9,41.9,NA,100,0,376,100.3,0,100,376,100,39,10.4
1141,THQH Karunagappally,2015-16,6,107,75,53,70.1,49.5,101,568,94.4,530.8,112,104.7,12,5,41.7,0,NA,NA,NA,NA,NA,NA,1370,1370,1280.4,1370,100,100,0,692,NA,50.5,50.5,NA,100,0,1377,100.5,1,99.9,1377,100,149,10.8
1151,THQH Kottarakara,2015-16,6,65,48,10,73.8,15.4,59,843,90.8,1296.9,213,327.7,98,15,15.3,0,NA,NA,NA,NA,NA,NA,1559,1821,2801.5,1821,100,100,0,854,230,59.5,54.8,87.8,85.6,14.4,1826,100.3,2,99.9,1826,100,129,7.1
1161,THQH Punalur,2015-16,6,588,480,237,81.6,40.3,485,1930,82.5,328.2,489,83.2,30,23,76.7,8.7,1,1,0,100,1,100,958,2823,480.1,2824,100,100,0,330,975,46.2,34.4,52.3,33.9,66.1,2847,100.8,2,99.9,2847,100,147,5.2
1171,THQH Sasthamkottah,2015-16,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1181,Thekkumbhagam CHCArea,2015-16,6,867,721,440,83.2,50.7,849,818,97.9,94.3,819,94.5,42,0,0,1.7,0,0,0,NA,0,NA,0,3,0.3,3,100,100,0,0,1,33.3,NA,33.3,0,100,3,100,0,100,3,100,0,0
1191,Thrikkadavoor CHCArea,2015-16,6,2071,1790,1098,86.4,53,1982,670,95.7,32.4,1970,95.1,37,0,0,1,0,0,0,NA,0,NA,0,480,23.2,480,100,100,0,0,229,47.7,NA,47.7,0,100,483,100.6,0,100,483,100,40,8.3
1201,Velinalloor CHCArea,2015-16,6,1577,1446,813,91.7,51.6,1644,780,104.2,49.5,1537,97.5,16,0,0,0.5,0,0,0,NA,0,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA
1211,Women and Children Hospital Victoria Hl Kollam,2015-16,6,1365,1190,895,87.2,65.6,1314,3225,96.3,236.3,2428,177.9,2950,37,1.3,13.8,0,0,0,NA,0,NA,5417,9416,689.8,9416,100,100,0,2829,2766,59.4,52.2,69.2,57.5,42.5,9481,100.7,22,99.8,9481,100,1027,10.8
1231,Arunootimangalam CHCArea,2015-16,7,654,561,307,85.8,46.9,592,232,90.5,35.5,610,93.3,19,0,0,1.4,1,1,0,100,0,0,0,0,0,1,0,100,100,0,NA,NA,NA,NA,NA,NA,1,100,0,100,1,100,0,0
1241,Athirampuzha BPHCArea,2015-16,7,1511,1153,545,76.3,36.1,1481,363,98,24,1475,97.6,3,NA,0,0,0,0,0,NA,0,NA,0,52,3.4,52,100,100,0,0,28,53.8,NA,53.8,0,100,52,100,0,100,52,100,3,5.8
1251,Edamaruku CHCArea,2015-16,7,1661,1347,876,81.1,52.7,1709,799,102.9,48.1,1607,96.7,1,0,0,0.5,1,0,1,0,0,0,0,218,13.1,219,99.5,99.5,0.5,0,79,36.2,NA,36.2,0,100,219,100,1,99.5,219,100,29,13.2
1261,Edayazham CHCArea,2015-16,7,1388,1205,1094,86.8,78.8,1321,515,95.2,37.1,1327,95.6,14,0,0,0.3,0,0,0,NA,0,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA
1271,Edayirickapuzha CHCArea,2015-16,7,1120,969,547,86.5,48.8,1045,364,93.3,32.5,1119,99.9,2,0,0,0,0,0,0,NA,0,NA,0,33,2.9,33,100,100,0,0,17,51.5,NA,51.5,0,100,33,100,0,100,33,100,0,0
1281,Erumely CHCArea,2015-16,7,2222,1657,1206,74.6,54.3,2067,1993,93,89.7,2301,103.6,7,0,0,0.1,0,0,0,NA,0,NA,0,1844,83,1844,100,100,0,0,734,39.8,NA,39.8,0,100,1848,100.2,5,99.7,1848,100,113,6.1
1291,GH Kanjirappally,2015-16,7,46,34,21,73.9,45.7,43,577,93.5,1254.3,65,141.3,76,0,0,23.9,0,0,0,NA,0,NA,49,647,1406.5,647,100,100,0,10,361,57.3,20.4,60.4,7.6,92.4,649,100.3,5,99.2,649,100,60,9.2
1301,General Hospital Changanassery,2015-16,7,407,277,325,68.1,79.9,344,544,84.5,133.7,377,92.6,18,NA,0,0.5,0,0,0,NA,0,NA,949,2157,530,2157,100,100,0,453,608,49.2,47.7,50.3,44,56,2164,100.3,2,99.9,2164,100,111,5.1
1311,General Hospital Pala,2015-16,7,162,86,76,53.1,46.9,104,1117,64.2,689.5,163,100.6,83,0,0,44.4,0,0,0,NA,0,NA,592,1575,972.2,1575,100,100,0,195,474,42.5,32.9,48.2,37.6,62.4,1581,100.4,0,100,1581,100,122,7.7
1321,ICH Kottayam,2015-16,7,0,0,0,NA,NA,0,0,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA
1331,KMCH Ettumanoor BPHCArea,2015-16,7,444,330,194,74.3,43.7,299,2351,67.3,529.5,409,92.1,160,7,4.4,31.5,0,0,0,NA,0,NA,0,3957,891.2,3957,100,100,0,0,1500,37.9,NA,37.9,0,100,4008,101.3,29,99.3,4008,100,514,12.8
1341,Karukachal CHCArea,2015-16,7,2162,1657,1721,76.6,79.6,2121,1099,98.1,50.8,2155,99.7,19,0,0,0.3,1,1,0,100,0,0,0,792,36.6,793,99.9,100,0.1,0,520,65.7,NA,65.7,0,100,794,100.1,1,99.9,794,100,38,4.8
1351,Koodalloor CHCArea,2015-16,7,882,725,403,82.2,45.7,820,405,93,45.9,907,102.8,21,16,76.2,4,0,0,0,NA,0,NA,0,580,65.8,580,100,100,0,0,217,37.4,NA,37.4,0,100,579,99.8,10,98.3,579,100,57,9.8
1361,Kumarakom CHCArea,2015-16,7,1369,1148,661,83.9,48.3,1326,1269,96.9,92.7,1402,102.4,6,0,0,0,1,0,1,0,0,0,0,1099,80.3,1100,99.9,99.9,0.1,0,646,58.8,NA,58.8,0,100,1104,100.4,0,100,1104,100,83,7.5
1371,Medical College Hospital,2015-16,7,46,28,45,60.9,97.8,40,1313,87,2854.3,43,93.5,126,37,29.4,691.3,0,0,0,NA,0,NA,5514,5514,1987,5514,100,100,0,1909,NA,34.6,34.6,NA,100,0,5489,99.5,136,97.6,5489,100,1683,30.7
1381,Medical College Hospital Kottayam,2015-16,7,398,281,298,70.6,74.9,452,1930,113.6,484.9,485,121.9,234,18,7.7,0,0,0,0,NA,0,NA,1660,3750,942.2,3750,100,100,0,1001,1326,62.1,60.3,63.4,44.3,55.7,3761,100.3,2,99.9,3761,100,334,8.9
1391,Mundankunnu BPHCArea,2015-16,7,890,738,556,82.9,62.5,933,283,104.8,31.8,905,101.7,1,NA,0,0.3,0,0,0,NA,0,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA
1401,Paika Elikulam MC CHCArea,2015-16,7,433,375,166,86.6,38.3,421,310,97.2,71.6,413,95.4,3,0,0,0.2,0,0,0,NA,0,NA,2,2,0.5,2,100,100,0,0,NA,0,0,NA,100,0,2,100,0,100,2,100,1,50
1411,Panachikkadu BPHCArea,2015-16,7,1018,850,660,83.5,64.8,997,402,97.9,39.5,1044,102.6,1,0,0,0.1,0,0,0,NA,0,NA,0,32,3.1,32,100,100,0,0,16,50,NA,50,0,100,31,96.9,1,96.9,31,100,4,12.9
1421,THQH Kuravilangadu,2015-16,7,0,0,0,NA,NA,0,2,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA
1431,THQH Pampady,2015-16,7,34,24,3,70.6,8.8,60,91,176.5,267.6,147,432.4,0,0,NA,0,0,0,0,NA,0,NA,3,3,8.8,3,100,100,0,0,NA,0,0,NA,100,0,3,100,0,100,3,100,2,66.7
1441,THQH Vaikom,2015-16,7,80,56,64,70,80,106,257,132.5,321.3,103,128.8,0,0,NA,0,0,0,0,NA,0,NA,692,728,910,728,100,100,0,407,36,60.9,58.8,100,95.1,4.9,728,100,0,100,728,100,40,5.5
1451,Thalayolaparambu CHCArea,2015-16,7,992,806,626,81.3,63.1,910,664,91.7,66.9,938,94.6,18,1,5.6,0.2,1,0,1,0,0,0,0,524,52.8,525,99.8,99.8,0.2,0,279,53.2,NA,53.2,0,100,525,100,0,100,525,100,2,0.4
1461,Ullanad CHCArea,2015-16,7,984,759,467,77.1,47.5,930,631,94.5,64.1,922,93.7,21,1,4.8,0.8,0,0,0,NA,0,NA,0,884,89.8,884,100,100,0,0,366,41.4,NA,41.4,0,100,884,100,1,99.9,884,100,80,9
1471,Uzhavoor Speciality BPHCArea,2015-16,7,551,439,309,79.7,56.1,483,253,87.7,45.9,540,98,4,0,0,0.2,0,0,0,NA,0,NA,0,175,31.8,175,100,100,0,0,112,64,NA,64,0,100,176,100.6,0,100,176,100,37,21
1481,x,2015-16,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1501,Balussery CHC Area,2015-16,8,2028,1657,1966,81.7,96.9,1984,2018,97.8,99.5,1878,92.6,279,7,2.5,2.5,2,0,2,0,2,100,0,343,16.9,345,99.4,99.4,0.6,0,131,38.2,NA,38.2,0,100,346,100.3,0,100,346,100,10,2.9
1511,Cheroopa BPHC Area,2015-16,8,1910,1306,1431,68.4,74.9,1287,1324,67.4,69.3,1353,70.8,247,0,0,1,1,0,1,0,1,100,0,0,0,1,0,0,100,0,0,NA,NA,NA,NA,NA,1,100,0,100,1,100,1,100
1521,Cheruvady BPHC Area,2015-16,8,2857,2333,2857,81.7,100,2826,1313,98.9,46,2861,100.1,259,0,0,3.4,5,4,1,80,1,20,0,88,3.1,93,94.6,98.9,5.4,0,44,50,NA,50,0,100,93,100,0,100,92,98.9,14,15.2
1531,Cheruvannoor BPHC Area,2015-16,8,3046,2444,2946,80.2,96.7,2793,2605,91.7,85.5,2402,78.9,675,0,0,3.5,0,0,0,NA,0,NA,0,1216,39.9,1216,100,100,0,0,332,27.3,NA,27.3,0,100,1216,100,0,100,1216,100,7,0.6
1541,Govt Hospital Vatakara,2015-16,8,834,514,679,61.6,81.4,427,2277,51.2,273,926,111,112,0,0,8,NA,NA,NA,NA,NA,NA,76,1609,192.9,1609,100,100,0,5,612,38.3,6.6,39.9,4.7,95.3,1607,99.9,3,99.8,1607,100,101,6.3
1551,Govt Hospital Koyilandy,2015-16,8,139,108,139,77.7,100,137,704,98.6,506.5,113,81.3,28,0,0,15.1,NA,NA,NA,NA,NA,NA,20,20,14.4,20,100,100,0,1,0,5,5,NA,100,0,20,100,0,100,20,100,3,15
1561,Kuttiyady CHC Area,2015-16,8,3884,2909,3156,74.9,81.3,3777,2323,97.2,59.8,2732,70.3,350,0,0,1.1,0,0,0,NA,0,NA,408,1538,39.6,1538,100,100,0,158,219,24.5,38.7,19.4,26.5,73.5,1576,102.5,0,100,1576,100,12,0.8
1571,Medical College Hospital Calicut,2015-16,8,2692,1168,2229,43.4,82.8,3646,4439,135.4,164.9,3510,130.4,526,47,8.9,7.2,1,0,1,0,0,0,16821,28664,1064.8,28665,100,100,0,6124,5485,40.5,36.4,46.3,58.7,41.3,28676,100,482,98.3,28675,100,5800,20.2
1581,Melady BPHC Area,2015-16,8,2727,2300,2722,84.3,99.8,2442,1707,89.5,62.6,2023,74.2,228,0,0,1.6,0,0,0,NA,0,NA,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA
1591,Mukkom CHC Area,2015-16,8,2357,1892,2152,80.3,91.3,2179,2055,92.4,87.2,2140,90.8,270,1,0.4,1.6,5,1,4,20,0,0,0,2158,91.6,2163,99.8,99.8,0.2,0,725,33.6,NA,33.6,0,100,2172,100.4,7,99.7,2171,100,84,3.9
1601,Narikkunni CHC Area,2015-16,8,5937,4261,5884,71.8,99.1,4870,4795,82,80.8,5500,92.6,503,0,0,1.4,0,0,0,NA,0,NA,2778,7577,127.6,7577,100,100,0,568,1408,26.1,20.4,29.3,36.7,63.3,7619,100.6,9,99.9,7619,100,618,8.1
1611,Olavanna BPHC Area,2015-16,8,2778,2121,2778,76.3,100,2698,2317,97.1,83.4,2766,99.6,492,7,1.4,2.1,0,0,0,NA,0,NA,0,2844,102.4,2844,100,100,0,0,785,27.6,NA,27.6,0,100,2861,100.6,3,99.9,2861,100,112,3.9
1621,Orkkattery CHC Area,2015-16,8,2006,1552,1999,77.4,99.7,1715,906,85.5,45.2,1861,92.8,380,0,0,2.3,1,0,1,0,0,0,0,0,0,1,0,0,100,0,0,NA,NA,NA,NA,NA,1,100,0,100,0,0,0,NA
1631,Perambra CHC Area,2015-16,8,2775,2322,2710,83.7,97.7,2332,1990,84,71.7,2350,84.7,432,0,0,0.9,1,0,1,0,0,0,356,356,12.8,357,99.7,99.7,0.3,0,0,0,0,NA,100,0,356,99.7,1,99.7,356,100,30,8.4
1641,Thalakkulathur CHC Area,2015-16,8,2164,1624,2151,75,99.4,1998,1125,92.3,52,1932,89.3,211,0,0,1.1,0,0,0,NA,0,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA
1651,Thiruvallur CHC Area,2015-16,8,2257,1703,2216,75.5,98.2,2100,1107,93,49,1592,70.5,312,4,1.3,0.9,0,0,0,NA,0,NA,0,66,2.9,66,100,100,0,0,8,12.1,NA,12.1,0,100,66,100,0,100,66,100,1,1.5
1661,Thiruvangoor BPHC Area,2015-16,8,1523,1181,1408,77.5,92.4,1319,936,86.6,61.5,1503,98.7,94,0,0,0.9,0,0,0,NA,0,NA,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA
